year,unemp_rate
1960,0.7
1961,0.5
1962,0.4
1963,0.5
1964,0.5
1965,0.4
1966,0.5
1967,1.4
1968,1
1969,0.6
1970,0.5
1971,0.6
1972,0.8
1973,0.8
1974,1.8
1975,3.3
1976,3.3
1977,3.2
1978,3.1
1979,2.7
1980,2.7
1981,3.9
1982,5.6
1983,6.9
1984,7.1
1985,7.2
1986,6.6
1987,6.4
1988,6.3
1989,5.6
1990,4.8
1991,5.6
1992,6.6
1993,7.8
1994,8.4
1995,8.2
1996,8.9
1997,9.6
1998,9.4
1999,8.6
2000,7.9
2001,7.8
2002,8.6
2003,9.7
2004,10.4
2005,11.2
2006,10.1
2007,8.5
2008,7.4
2009,7.6
2010,7
2011,5.8
2012,5.4
2013,5.2
2014,5
2015,4.6
2016,4.1
2017,3.8
2018,3.4
2019,3.1
2020,2.7
