iso2c,country,year,Konsum,BIP
DE,Germany,2000,1.589068,2.10909
DE,Germany,2001,1.638377,2.17254
DE,Germany,2002,1.648004,2.19812
DE,Germany,2003,1.676129,2.21157
DE,Germany,2004,1.695994,2.26252
DE,Germany,2005,1.723428,2.28831
DE,Germany,2006,1.765274,2.38508
DE,Germany,2007,1.795901,2.49955
DE,Germany,2008,1.845702,2.54649
DE,Germany,2009,1.869331,2.44573
DE,Germany,2010,1.914886,2.5644
DE,Germany,2011,1.978598,2.69356
DE,Germany,2012,2.036576,2.74531
DE,Germany,2013,2.085678,2.81135
DE,Germany,2014,2.137354,2.92743
DE,Germany,2015,2.194938,3.03007
DE,Germany,2016,2.269811,3.1341
DE,Germany,2017,2.341306,3.24499
DE,Germany,2018,2.409282,3.34437
DE,Germany,2019,2.494335,3.43521
