iso2c,country,year,unemp_female,unemp_male,laborforce_female,population_total,workforce_total
AT,Austria,2010,4.62900018692017,4.98400020599365,46.1393251301631,8363404,4276558
AT,Austria,2011,4.58400011062622,4.5460000038147,46.3345496607677,8391643,4305310
AT,Austria,2012,4.78599977493286,4.93400001525879,46.5065254884266,8429991,4352701
AT,Austria,2013,5.29400014877319,5.36999988555908,46.5775205750196,8479823,4394285
AT,Austria,2014,5.38199996948242,5.82800006866455,46.706875453227,8546356,4412800
AT,Austria,2015,5.30800008773804,6.08500003814697,46.6744664057139,8642699,4460833
AT,Austria,2016,5.54400014877319,6.42600011825562,46.7113406998996,8736668,4531193
DE,Germany,2010,6.49399995803833,7.36199998855591,45.5871854408338,81776930,42014274
DE,Germany,2011,5.57999992370605,6.0310001373291,45.8636698381119,80274983,41674901
DE,Germany,2012,5.17600011825562,5.55200004577637,45.9038599650368,80425823,41767969
DE,Germany,2013,4.91400003433228,5.50099992752075,46.1348605838026,80645605,42161170
DE,Germany,2014,4.63000011444092,5.28200006484985,46.23146434599,80982500,42415215
DE,Germany,2015,4.21999979019165,4.97300004959106,46.3446554688412,81686611,42731868
DE,Germany,2016,3.74200010299683,4.45100021362305,46.4412995743148,82348669,43182140
